X,Y,Z,rho,p,T,U,V,W
-1.390830000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000030000000000E+000, 1.057360000000000E-006,-1.196470000000000E-004
-1.352730000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999990000000000E+000, 1.155220000000000E-006,-2.268670000000000E-004
-1.314620000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999990000000000E-001, 1.000000000000000E+000, 4.999990000000000E+000, 4.303230000000000E-007, 3.606300000000000E-004
-1.276520000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999930000000000E-001, 9.999980000000001E-001, 5.000000000000000E+000,-8.857180000000000E-007,-2.834690000000000E-004
-1.238410000000000E-001, 5.715000000000000E-003, 2.494470000000000E-019, 1.400000000000000E+000, 9.999970000000000E-001, 9.999990000000000E-001, 5.000010000000000E+000,-9.653380000000001E-007,-1.663490000000000E-004
-1.200310000000000E-001, 5.715000000000000E-003, 1.307470000000000E-019, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 5.000000000000000E+000, 7.427460000000000E-007,-4.100040000000000E-004
-1.162200000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000030000000000E+000, 2.997730000000000E-006,-7.584220000000000E-005
-1.124100000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 4.999960000000000E+000,-2.793200000000000E-007,-1.826420000000000E-005
-1.085990000000000E-001, 5.715000000000000E-003, 2.494470000000000E-019, 1.399980000000000E+000, 9.999730000000000E-001, 9.999920000000000E-001, 4.999960000000000E+000,-1.959800000000000E-006, 1.653600000000000E-004
-1.047890000000000E-001, 5.715000000000000E-003, 0.000000000000000E+000, 1.399990000000000E+000, 9.999820000000000E-001, 9.999950000000000E-001, 5.000050000000000E+000,-1.451620000000000E-006, 3.584970000000000E-004
-1.009780000000000E-001, 5.715000000000000E-003, 1.307470000000000E-019, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000010000000000E+000,-4.491420000000000E-007, 1.424920000000000E-004
-9.716770000000000E-002, 5.715000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000020000000000E+000, 1.000010000000000E+000, 5.000020000000000E+000, 1.394320000000000E-006,-2.305250000000000E-004
-9.335720000000000E-002, 5.715000000000000E-003, 0.000000000000000E+000, 1.400010000000000E+000, 1.000000000000000E+000, 1.000000000000000E+000, 4.999980000000000E+000,-1.934110000000000E-007,-2.998790000000000E-004
-8.954670000000001E-002, 5.715000000000000E-003, 2.494470000000000E-019, 1.400000000000000E+000, 9.999940000000000E-001, 9.999980000000001E-001, 4.999990000000000E+000,-1.214350000000000E-006,-2.142910000000000E-004
-8.573620000000000E-002, 5.715000000000000E-003, 0.000000000000000E+000, 1.400000000000000E+000, 9.999910000000000E-001, 9.999970000000000E-001, 5.000010000000000E+000,-2.851680000000000E-007, 3.473470000000000E-005
-8.192570000000000E-002, 5.715000000000000E-003, 1.307470000000000E-019, 1.400000000000000E+000, 9.999980000000001E-001, 1.000000000000000E+000, 5.000010000000000E+000, 1.683180000000000E-006,-1.416310000000000E-004
-7.811520000000000E-002, 5.715000000000000E-003, 0.000000000000000E+000, 1.400020000000000E+000, 1.000010000000000E+000, 1.000000000000000E+000, 5.000010000000000E+000, 4.015160000000000E-006, 1.644570000000000E-004
