rho,p,T,U,V,W
 1.823810000000000E+000, 7.182610000000001E+004, 1.371730000000000E+002, 1.015790000000000E+003, 1.277400000000000E+002,-2.071650000000000E-010
 2.000880000000000E+000, 7.390030000000000E+004, 1.286440000000000E+002, 1.002520000000000E+003, 1.219740000000000E+002,-4.912800000000000E-011
 2.040800000000000E+000, 7.372800000000000E+004, 1.258330000000000E+002, 9.923560000000000E+002, 1.195660000000000E+002,-1.006900000000000E-011
 2.039890000000000E+000, 7.325820000000000E+004, 1.250870000000000E+002, 9.909080000000000E+002, 1.192470000000000E+002,-6.303040000000000E-012
 2.022670000000000E+000, 7.231600000000000E+004, 1.245300000000000E+002, 9.886710000000000E+002, 1.190170000000000E+002,-2.100250000000000E-012
 2.014910000000000E+000, 7.192950000000000E+004, 1.243410000000000E+002, 9.878190000000000E+002, 1.172710000000000E+002,-8.479120000000000E-013
 2.016070000000000E+000, 7.195870000000000E+004, 1.243200000000000E+002, 9.880970000000000E+002, 1.158160000000000E+002, 1.296140000000000E-013
 2.019840000000000E+000, 7.209500000000000E+004, 1.243230000000000E+002, 9.886319999999999E+002, 1.140590000000000E+002,-1.605040000000000E-012
 2.024870000000000E+000, 7.228120000000000E+004, 1.243350000000000E+002, 9.892870000000000E+002, 1.120520000000000E+002, 9.296340000000000E-013
 2.027930000000000E+000, 7.236880000000000E+004, 1.242970000000000E+002, 9.899130000000000E+002, 1.096350000000000E+002,-1.818430000000000E-012
 2.027820000000000E+000, 7.228370000000000E+004, 1.241580000000000E+002, 9.905020000000000E+002, 1.070940000000000E+002, 1.629990000000000E-012
 2.013080000000000E+000, 7.142060000000001E+004, 1.235740000000000E+002, 9.909040000000000E+002, 1.046640000000000E+002,-2.371550000000000E-012
 1.970970000000000E+000, 6.922980000000000E+004, 1.223420000000000E+002, 9.908650000000000E+002, 1.015190000000000E+002, 2.482650000000000E-012
 1.920610000000000E+000, 6.670520000000000E+004, 1.209720000000000E+002, 9.910570000000000E+002, 9.688420000000001E+001,-1.675100000000000E-012
 1.865440000000000E+000, 6.401620000000000E+004, 1.195290000000000E+002, 9.915359999999999E+002, 9.110730000000000E+001, 1.684830000000000E-013
 1.804660000000000E+000, 6.113210000000000E+004, 1.179880000000000E+002, 9.921820000000000E+002, 8.423909999999999E+001, 1.296880000000000E-012
