X,Y,Z,rho,p,T,U,V,W
 1.238220000000000E-001, 5.255160000000000E-002, 0.000000000000000E+000, 3.828760000000000E+000, 4.879130000000000E+000, 1.784080000000000E+000, 4.474910000000000E+000, 1.155240000000000E+000, 0.000000000000000E+000
 1.276320000000000E-001, 5.340660000000000E-002,-8.860220000000000E-020, 3.864160000000000E+000, 4.934460000000000E+000, 1.787780000000000E+000, 4.464980000000000E+000, 1.166530000000000E+000, 0.000000000000000E+000
 1.314420000000000E-001, 5.426160000000000E-002, 0.000000000000000E+000, 3.864810000000000E+000, 4.935480000000000E+000, 1.787850000000000E+000, 4.461730000000000E+000, 1.179630000000000E+000, 0.000000000000000E+000
 1.352520000000000E-001, 5.511660000000000E-002, 2.577730000000000E-019, 3.849240000000000E+000, 4.909630000000000E+000, 1.785680000000000E+000, 4.459800000000000E+000, 1.187280000000000E+000, 0.000000000000000E+000
 1.390620000000000E-001, 5.597160000000000E-002, 2.477750000000000E-019, 3.819500000000000E+000, 4.860110000000000E+000, 1.781440000000000E+000, 4.451590000000000E+000, 1.196150000000000E+000, 0.000000000000000E+000
 1.428720000000000E-001, 5.682660000000000E-002,-2.498840000000000E-019, 3.759470000000000E+000, 4.755220000000000E+000, 1.770820000000000E+000, 4.449100000000000E+000, 1.202770000000000E+000, 0.000000000000000E+000
 1.466820000000000E-001, 5.768160000000000E-002, 1.720440000000000E-019, 3.698330000000000E+000, 4.648340000000000E+000, 1.759630000000000E+000, 4.450700000000000E+000, 1.209030000000000E+000, 0.000000000000000E+000
 1.504920000000000E-001, 5.853650000000000E-002, 0.000000000000000E+000, 3.678250000000000E+000, 4.613250000000000E+000, 1.755880000000000E+000, 4.458080000000000E+000, 1.201460000000000E+000, 0.000000000000000E+000
 1.543020000000000E-001, 5.939150000000000E-002, 2.564430000000000E-019, 3.678520000000000E+000, 4.613800000000000E+000, 1.755960000000000E+000, 4.460280000000000E+000, 1.196790000000000E+000, 0.000000000000000E+000
 1.581120000000000E-001, 6.024650000000000E-002,-5.174210000000000E-019, 3.691200000000000E+000, 4.635800000000000E+000, 1.758280000000000E+000, 4.463920000000000E+000, 1.189170000000000E+000, 0.000000000000000E+000
